叶面积,叶干重,侧枝萌发率,长宽比
230.969,2.228,0.049,1.226
187.462,1.492,0.054,1.244
223.986,2.46,0.061,1.315
286.337,2.638,0.062,1.241
154.094,1.206,0.07,1.365
304.503,2.672,0.079,1.259
295.713,2.448,0.095,1.049
314.484,2.668,0.097,1.225
350.598,2.638,0.106,1.235
376.475,3.236,0.108,1.176
263.203,2.254,0.115,1.246
229.259,1.616,0.122,1.332
183.132,1.588,0.126,1.304
260.402,1.93,0.141,1.284
229.301,1.908,0.151,1.249
278.634,2.512,0.17,1.35
260.153,2.08,0.172,1.368
281.659,2.02,0.199,1.253
