叶面积,叶干重,侧枝萌发率,长宽比
183.132,1.588,0.126,1.304
223.986,2.46,0.061,1.315
229.259,1.616,0.122,1.332
171.34,1.478,0.016,1.333
206.933,2.012,0.002,1.348
278.634,2.512,0.17,1.35
232.659,2.056,0.006,1.356
166.088,1.6,0.018,1.361
154.094,1.206,0.07,1.365
260.153,2.08,0.172,1.368
117.966,1.048,0.007,1.372
179.29,2.022,0,1.383
198.979,1.73,0.016,1.387
209.681,1.936,0.018,1.396
133.554,1.048,0.016,1.402
150.88,1.456,0.037,1.404
193.013,1.996,0.002,1.46
217.85,2.26,0.002,1.495
