叶面积,叶干重,侧枝萌发率,长宽比
250.623,2.072,0,1.083
256.291,2.512,0,1.285
179.29,2.022,0,1.383
206.933,2.012,0.002,1.348
193.013,1.996,0.002,1.46
217.85,2.26,0.002,1.495
232.659,2.056,0.006,1.356
117.966,1.048,0.007,1.372
242.94,2.32,0.013,1.256
171.34,1.478,0.016,1.333
198.979,1.73,0.016,1.387
133.554,1.048,0.016,1.402
166.088,1.6,0.018,1.361
209.681,1.936,0.018,1.396
193.899,1.602,0.024,1.262
253.873,2.244,0.025,1.271
150.88,1.456,0.037,1.404
372.505,3.304,0.038,1.259
