叶面积,叶干重,侧枝萌发率,长宽比
295.713,2.448,0.095,1.049
250.623,2.072,0,1.083
376.475,3.236,0.108,1.176
314.484,2.668,0.097,1.225
230.969,2.228,0.049,1.226
350.598,2.638,0.106,1.235
286.337,2.638,0.062,1.241
187.462,1.492,0.054,1.244
263.203,2.254,0.115,1.246
229.301,1.908,0.151,1.249
281.659,2.02,0.199,1.253
242.94,2.32,0.013,1.256
372.505,3.304,0.038,1.259
304.503,2.672,0.079,1.259
193.899,1.602,0.024,1.262
253.873,2.244,0.025,1.271
260.402,1.93,0.141,1.284
256.291,2.512,0,1.285
